k n dp ps p V Re Cd
0.2648 0.7529 0.0015 2260 1000 0.0119 0.1125 174.572
0.2648 0.7529 0.0021 2727 1000 0.0361 0.5678 35.534
0.2648 0.7529 0.0023 2449 1000 0.0409 0.7234 26.059
0.2648 0.7529 0.0030 2609 1000 0.0664 1.6292 14.463
0.2648 0.7529 0.0035 2572 1000 0.0802 2.2735 11.029
0.0353 0.8724 0.0015 2260 1000 0.0440 2.8774 12.769
0.0165 0.9198 0.0015 2260 1000 0.0597 7.3105 6.936
0.0353 0.8724 0.0021 2727 1000 0.1008 9.6228 4.558
0.0353 0.8724 0.0023 2449 1000 0.1119 11.9690 3.481
0.0165 0.9198 0.0021 2727 1000 0.1275 22.1153 2.849
0.0353 0.8724 0.0030 2609 1000 0.1592 22.6541 2.516
0.0165 0.9198 0.0023 2449 1000 0.1403 27.2608 2.215
0.0353 0.8724 0.0035 2572 1000 0.1825 29.5950 2.130
0.0165 0.9198 0.0030 2609 1000 0.1950 50.1299 1.677
0.0165 0.9198 0.0035 2572 1000 0.2196 64.2225 1.471
0.5940 0.5610 0.0030 2500 1000 0.0314 0.4446 59.698
0.5940 0.5610 0.0050 2500 1000 0.0881 2.6131 12.639
0.5940 0.5610 0.0070 2500 1000 0.1594 7.4079 5.405
0.1690 0.6250 0.0030 2500 999 0.1213 8.6137 4.007
0.1770 0.6020 0.0050 2500 999 0.1972 24.0244 2.527
0.1690 0.6250 0.0050 2500 999 0.2524 32.4644 1.542
0.0675 0.6290 0.0030 2500 1000 0.2049 43.6445 1.402
0.1770 0.6020 0.0070 2500 999 0.3031 53.6535 1.497
0.1690 0.6250 0.0070 2500 999 0.3734 68.6443 0.987
0.0299 0.7190 0.0030 2500 997 0.2673 94.4191 0.828
0.0675 0.6290 0.0050 2500 1000 0.4051 153.2203 0.598
0.0166 0.7510 0.0030 2500 998 0.3054 174.1574 0.633
0.0299 0.7190 0.0050 2500 997 0.4391 257.4585 0.511
0.0675 0.6290 0.0070 2500 1000 0.5235 269.0901 0.501
0.0299 0.7190 0.0070 2500 997 0.5196 406.8381 0.511
0.0166 0.7510 0.0050 2500 998 0.4437 407.5338 0.500
0.0166 0.7510 0.0070 2500 998 0.6035 770.4722 0.378
0.0521 0.7300 0.0008 2470 1000 0.0306 1.2458 16.222
0.0471 0.7300 0.0008 2470 1000 0.0392 1.8888 9.885
0.0521 0.7300 0.0011 2900 1000 0.0718 4.7792 5.447
0.0521 0.7300 0.0011 2900 1000 0.0818 5.6399 4.197
0.0521 0.7300 0.0030 1470 1000 0.0734 9.9022 3.366
